ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
01053079,575.0,47.0,20.0,498.0,4.0,,,,,0.0,6.0,0.0
01053080,2337.0,21.0,73.0,669.0,1523.0,0.0,34.0,11.0,2.0,,4.0,0.0
01053081,1912.0,46.0,64.0,1082.0,630.0,1.0,1.0,,6.0,0.0,81.0,1.0
01053082,904.0,47.0,32.0,752.0,20.0,,,,,7.0,46.0,1.0
01053083,956.0,368.0,93.0,339.0,32.0,2.0,0.0,,,3.0,117.0,62.0
01053084,1140.0,38.0,52.0,496.0,441.0,,5.0,1.0,8.0,3.0,95.0,0.0
01053085,966.0,69.0,31.0,795.0,42.0,3.0,,0.0,1.0,3.0,21.0,2.0
01053086,461.0,16.0,11.0,425.0,6.0,,,,0.0,0.0,4.0,
01053087,1124.0,44.0,33.0,902.0,138.0,,,,,1.0,7.0,3.0
01053088,443.0,16.0,10.0,401.0,10.0,,,1.0,0.0,0.0,4.0,
01053089,747.0,37.0,43.0,594.0,61.0,6.0,,1.0,,1.0,4.0,6.0
01053090,2505.0,601.0,186.0,265.0,1272.0,0.0,2.0,9.0,3.0,1.0,166.0,78.0
01053091,374.0,17.0,14.0,309.0,30.0,,,,,0.0,3.0,3.0
01053092,1146.0,80.0,51.0,825.0,163.0,0.0,,,,11.0,16.0,1.0
01053093,1188.0,49.0,31.0,884.0,145.0,,,1.0,4.0,,74.0,1.0
01053094,399.0,15.0,18.0,309.0,48.0,,,,,1.0,9.0,
01053095,841.0,41.0,22.0,615.0,160.0,,,,0.0,,3.0,0.0
01053096,622.0,59.0,28.0,475.0,46.0,1.0,0.0,,,0.0,12.0,2.0
01053097,1383.0,62.0,41.0,1092.0,124.0,5.0,5.0,9.0,3.0,21.0,22.0,2.0
01053098,451.0,30.0,35.0,332.0,47.0,0.0,,,2.0,2.0,1.0,0.0
01053099,544.0,17.0,18.0,367.0,136.0,,2.0,,0.0,2.0,1.0,
01053100,3029.0,493.0,138.0,376.0,367.0,6.0,,33.0,64.0,4.0,1548.0,38.0
01053101,1111.0,24.0,25.0,569.0,447.0,,,,12.0,0.0,34.0,
01053102,515.0,14.0,9.0,335.0,152.0,1.0,,,3.0,0.0,2.0,0.0
01053103,951.0,74.0,25.0,769.0,75.0,1.0,,,0.0,,7.0,
01053104,1624.0,52.0,53.0,830.0,671.0,3.0,0.0,1.0,1.0,1.0,12.0,1.0
01053105,5849.0,6.0,243.0,98.0,5480.0,,,1.0,,,21.0,3.0
01053106,595.0,26.0,21.0,498.0,42.0,0.0,1.0,1.0,,4.0,3.0,0.0
01053107,2510.0,103.0,72.0,1206.0,909.0,3.0,0.0,0.0,12.0,26.0,179.0,1.0
01053108,613.0,79.0,23.0,505.0,3.0,,,,,0.0,2.0,2.0
01053109,815.0,34.0,21.0,688.0,69.0,0.0,,,0.0,0.0,2.0,1.0
01053110,1155.0,53.0,55.0,773.0,244.0,2.0,,1.0,7.0,2.0,18.0,0.0
01053111,1302.0,62.0,40.0,393.0,649.0,,,,,3.0,155.0,
01053112,1477.0,76.0,38.0,879.0,460.0,2.0,,,2.0,10.0,11.0,6.0
01053113,847.0,34.0,21.0,576.0,213.0,,,0.0,,,3.0,
01053114,275.0,12.0,9.0,238.0,12.0,,,,0.0,2.0,1.0,0.0
01053115,1138.0,34.0,40.0,838.0,213.0,,,0.0,,1.0,12.0,0.0
01053116,1155.0,451.0,120.0,257.0,316.0,4.0,,1.0,,3.0,4.0,74.0
01053117,2788.0,67.0,37.0,1144.0,624.0,,0.0,0.0,46.0,1.0,870.0,0.0
01053118,882.0,41.0,26.0,780.0,25.0,1.0,,0.0,,3.0,5.0,2.0
01053119,468.0,21.0,26.0,383.0,29.0,0.0,0.0,,2.0,1.0,6.0,0.0
01053120,400.0,21.0,12.0,341.0,24.0,0.0,,,,0.0,3.0,0.0
01053121,862.0,32.0,23.0,412.0,360.0,,,26.0,,1.0,9.0,0.0
01053122,1629.0,38.0,28.0,951.0,582.0,,,1.0,4.0,0.0,24.0,0.0
01053123,2139.0,83.0,68.0,1353.0,600.0,0.0,,,1.0,1.0,33.0,4.0
01053124,533.0,33.0,16.0,477.0,5.0,,,,,,3.0,
